individual.local.identifier,timestamp,yCoords,xCoords
1,2022.02.25 05:15:51,31.087457,-85.821402
1,2022.02.25 05:31:02,31.087401,-85.821358
1,2022.02.25 05:46:00,31.087461,-85.821451
1,2022.02.25 06:01:00,31.087525,-85.821363
1,2022.02.25 06:16:06,31.087326,-85.821331
1,2022.02.25 06:30:55,31.087435,-85.821479
1,2022.02.25 06:45:54,31.087375,-85.821455
1,2022.02.25 07:00:37,31.087361,-85.821435
1,2022.02.25 07:15:54,31.087494,-85.821437
1,2022.02.25 07:31:07,31.087378,-85.821418
1,2022.02.25 07:45:54,31.087459,-85.821376
1,2022.02.25 08:01:32,31.087437,-85.821369
1,2022.02.25 08:15:54,31.087375,-85.821409
1,2022.02.25 08:31:02,31.087365,-85.821327
1,2022.02.25 08:46:00,31.087366,-85.821306
1,2022.02.25 09:01:06,31.087465,-85.821412
1,2022.02.25 09:16:00,31.087526,-85.821482
1,2022.02.25 09:30:55,31.087378,-85.82144
1,2022.02.25 09:46:24,31.087404,-85.821391
1,2022.02.25 10:00:57,31.087351,-85.821348
1,2022.02.25 10:15:57,31.08742,-85.821376
1,2022.02.25 10:31:06,31.087308,-85.821396
1,2022.02.25 10:46:00,31.087331,-85.821446
1,2022.02.25 11:00:55,31.087568,-85.821376
1,2022.02.25 11:16:06,31.087466,-85.821351
1,2022.02.25 11:31:06,31.08748,-85.821332
1,2022.02.25 11:45:41,31.087494,-85.821247
1,2022.02.25 12:01:06,31.087337,-85.821333
1,2022.02.25 12:15:51,31.087541,-85.821475
1,2022.02.25 12:31:01,31.087507,-85.821437
1,2022.02.25 12:45:50,31.087435,-85.8214
1,2022.02.25 13:00:50,31.087371,-85.821446
1,2022.02.25 13:16:25,31.087488,-85.821406
1,2022.02.25 13:30:51,31.087495,-85.821388
1,2022.02.25 13:46:07,31.087395,-85.821415
1,2022.02.25 14:01:25,31.087441,-85.82139
1,2022.02.25 14:15:55,31.087352,-85.821462
1,2022.02.25 14:30:50,31.087437,-85.821484
1,2022.02.25 14:45:55,31.087493,-85.821452
1,2022.02.25 15:01:01,31.087495,-85.821421
1,2022.02.25 15:16:07,31.087469,-85.821453
1,2022.02.25 15:31:07,31.087255,-85.821656
1,2022.02.25 15:46:36,31.087428,-85.821491
1,2022.02.25 16:01:02,31.087399,-85.821481
1,2022.02.25 16:16:26,31.087415,-85.821516
1,2022.02.25 16:32:55,31.08747,-85.821524
1,2022.02.25 16:45:55,31.087278,-85.821471
1,2022.02.25 17:01:24,31.087427,-85.82138
1,2022.02.25 17:16:00,31.087537,-85.821503
1,2022.02.25 17:30:50,31.08749,-85.8214
